rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
1,2016,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,104171935,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2016,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,94393454,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2016,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,83654250,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
4,2016,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,80921527,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
5,2016,Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan,79699762,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
6,2016,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,78327479,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
7,2016,Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,75715474,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
8,2016,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,70314462,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
9,2016,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,66002414,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
10,2016,Charles de Gaulle Airport,CDG/LFPG,"Paris (Roissy-en-France), Île-de-France",France,65933145,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
11,2016,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,65670697,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
12,2016,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,63625534,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
13,2016,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,60786937,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
14,2016,Istanbul Atat rk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,60248741,"Yeşilköy, Istanbul Ataturk Airport (ISL), 34149 Bakırköy/İstanbul, Turkey",40.9829888,28.8104425,"[40.9829888, 28.8104425]"
15,2016,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,59732147,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
16,2016,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York City, New York",United States,58813103,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
17,2016,Singapore Changi Airport,SIN/WSSS,"Changi, Singapore",Singapore,58698000,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
18,2016,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,58266515,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
19,2016,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,57849814,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
20,2016,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,55892428,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
21,2016,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,55631385,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
22,2016,Soekarno Hatta International Airport,CGK/WIII,"Benda, Tangerang, Banten",Indonesia,54969536,"Soekarno-Hatta International Airport (CGK), Kota Tangerang, Banten 19120, Indonesia",-6.1275282,106.6537058,"[-6.1275282, 106.6537058]"
23,2016,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,53099282,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
24,2016,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,52640043,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
25,2016,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,50397928,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
26,2016,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,47496614,"McCarran International Airport (LAS), Terminal 1, 5757 Wayne Newton Blvd, Las Vegas, NV 89119, United States",36.0848353,-115.1505854,"[36.0848353, -115.1505854]"
27,2016,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,46039137,"Chengdu Shuangliu International Airport (CTU), Shuangliu, Chengdu Shi, Sichuan Sheng, China",30.567456,103.9492936,"[30.567456, 103.9492936]"
28,2016,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,45736700,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
29,2016,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,44680555,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
30,2016,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,44584603,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
31,2016,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,44422022,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
32,2016,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,44335198,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
33,2016,Barcelona El Prat Airport,BCN/LEBL,"El Prat, Catalonia",Spain,44131031,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
34,2016,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,43302381,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
35,2016,Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,43136795,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
36,2016,Taiwan Taoyuan International Airport,TPE/RCTP,"Dayuan, Taoyuan",Taiwan,42296322,"Taiwan Taoyuan International Airport (TPE), No. 9, Hangzhan S Rd, Dayuan District, Taoyuan City, Taiwan 33758",25.0796514,121.234217,"[25.0796514, 121.234217]"
37,2016,Munich Airport,MUC/EDDM,"Freising, Bavaria",Germany,42261309,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
38,2016,Sydney Kingsford-Smith Airport,SYD/YSSY,"Mascot, Sydney, New South Wales",Australia,41985810,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
39,2016,Kunming Changshui International Airport,KMG/ZPPP,"Guandu, Kunming, Yunnan",China,41980515,"China, Yunnan, Kunming, Guandu, Airport E Rd, 大板桥镇",25.084296,102.921983,"[25.084296, 102.921983]"
40,2016,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,41975090,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
41,2016,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,41923399,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
42,2016,Leonardo da Vinci Fiumicino Airport,FCO/LIRF,"Fiumicino, Lazio",Italy,41738662,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
43,2016,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,41622594,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
44,2016,Benito Ju rez International Airport,MEX/MMMX,"Venustiano Carranza, Mexico City",Mexico,41410254,"Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico",19.4360762,-99.07190829999999,"[19.4360762, -99.07190829999999]"
45,2016,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,40460135,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
46,2016,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,40289969,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
47,2016,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,39534991,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
48,2016,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,39000563,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
49,2016,Minneapolis/St Paul International Airport,MSP/KMSP,"St. Paul, Minnesota",United States,37413728,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
50,2016,Hamad International Airport,DOH/OTHH,Doha,Qatar,37283987,"Hamad International Airport, Doha, Qatar",25.2608759,51.61384169999999,"[25.2608759, 51.61384169999999]"
1,2015,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,101491106,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2015,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,89938628,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2015,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,78014841,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
4,2015,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,76942493,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
5,2015,Tokyo Haneda Airport,HND/RJTT,"Ota, Tokyo",Japan,75316718,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
6,2015,London Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,74989795,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
7,2015,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,74937004,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
8,2015,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,68283407,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
9,2015,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,65766986,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
10,2015,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,65512163,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
11,2015,Istanbul Atat rk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,61836781,"Yeşilköy, Istanbul Ataturk Airport (ISL), 34149 Bakırköy/İstanbul, Turkey",40.9829888,28.8104425,"[40.9829888, 28.8104425]"
12,2015,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,61032022,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
13,2015,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,60053387,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
14,2015,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,58284864,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
15,2015,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York",United States,56827154,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
